shelter_id,facility_name,road_address,lot_address,region_code,region_name,latitude,longitude,geocoding_status,geocoding_source,geocoding_query,geocoding_query
SHELTER_090,진정경로당,경남 합천군 쌍책면 진정1길 137,경남 합천군 쌍책면 진정리 301-2,48890370,쌍책면,35.5937098062737,128.291083660554,OK,kakao,경남 합천군 쌍책면 진정1길 137,경남 합천군 쌍책면 진정1길 137
SHELTER_091,창동마을회관,경남 합천군 합천읍 중앙로 27,경남 합천군 합천읍 합천리 856-5,48890250,합천읍,35.5632974246014,128.157948711159,OK,kakao,경남 합천군 합천읍 중앙로 27,경남 합천군 합천읍 중앙로 27
SHELTER_092,하림1구경로당,경남 합천군 야로면 하림길 11,경남 합천군 야로면 하림리 148-2,48890340,야로면,35.7486183723163,128.155854222932,OK,kakao,경남 합천군 야로면 하림길 11,경남 합천군 야로면 하림길 11
SHELTER_093,하빈1구경로당,경남 합천군 야로면 하빈1길 23-13,경남 합천군 야로면 하빈리 450-7,48890340,야로면,35.710705978051,128.178283421907,OK,kakao,경남 합천군 야로면 하빈1길 23-13,경남 합천군 야로면 하빈1길 23-13
SHELTER_094,함지경로당,경남 합천군 대양면 함지길 120,경남 합천군 대양면 함지리 159,48890410,대양면,35.491132058369,128.163543046735,OK,kakao,경남 합천군 대양면 함지길 120,경남 합천군 대양면 함지길 120
SHELTER_095,합천읍사무소,경남 합천군 합천읍 중앙로 61 (읍사무소),경남 합천군 합천읍 합천리 789,48890250,합천읍,35.5658279291165,128.157816801614,OK,kakao,경남 합천군 합천읍 중앙로 61 (읍사무소),경남 합천군 합천읍 중앙로 61 (읍사무소)
SHELTER_096,항곡2구경로당,경남 합천군 율곡면 항곡3길 27,경남 합천군 율곡면 항곡리 745-1,48890350,율곡면,35.6090782119845,128.211386381613,OK,kakao,경남 합천군 율곡면 항곡3길 27,경남 합천군 율곡면 항곡3길 27
SHELTER_097,해곡경로당,경남 합천군 용주면 해곡1길 1,경남 합천군 용주면 평산리 164,48890460,용주면,35.5336829951427,128.123119644857,OK,kakao,경남 합천군 용주면 해곡1길 1,경남 합천군 용주면 해곡1길 1
SHELTER_098,황계경로당,경남 합천군 용주면 황계폭포로 484,경남 합천군 용주면 황계리 287-4,48890460,용주면,35.5115005435227,128.080607819975,OK,kakao,경남 합천군 용주면 황계폭포로 484,경남 합천군 용주면 황계폭포로 484
SHELTER_099,회양2구경로당,경남 합천군 대병면 서부로 1951,경남 합천군 대병면 회양리 343-8,48890450,대병면,35.5181937649423,128.020119617513,OK,kakao,경남 합천군 대병면 서부로 1951,경남 합천군 대병면 서부로 1951
SHELTER_100,횡보경로당,경남 합천군 적중면 횡보길 26,경남 합천군 적중면 죽고리 785-34,48890400,적중면,35.5706287417464,128.293643342773,OK,kakao,경남 합천군 적중면 횡보길 26,경남 합천군 적중면 횡보길 26
SHELTER_101,후사경로당,경남 합천군 대양면 안금1길 96,경남 합천군 대양면 안금리 815,48890410,대양면,35.4901426991335,128.182377175716,OK,kakao,경남 합천군 대양면 안금1길 96,경남 합천군 대양면 안금1길 96
